1,3,حي العمل,Al Amal Dist.
2,3,حي النموذجية,Al Namudhajiyah Dist.
3,3,حي الجرادية,Al Jarradiyah Dist.
4,3,حي الصناعية,Al Sinaiyah Dist.
5,3,حي منفوحة الجديدة,Manfuha Al Jadidah Dist.
6,3,حي الفاخرية,Al Fakhiriyah Dist.
7,3,حي الديرة,Al Dirah Dist.
8,3,حي ام الحمام الشرقي,East Umm Al Hamam Dist.
9,3,حي الشرفية,Al Sharafiyah Dist.
10,3,حي الهدا,Al Hada Dist.
11,3,حي المعذر الشمالي,North Mathar Dist.
12,3,حي ام الحمام الغربي,West Umm Al Hamam Dist.
13,3,حي الرحمانية,Ar Rahmaniyah Dist.
14,3,حي لبن,Laban Dist.
15,3,حي الرفيعة,Ar Rafiah Dist.
16,3,حي الشهداء,Al Shohda Dist.
17,3,حي الملك فهد,King Fahd Dist.
18,3,حي السويدي,Al Suwaidi Dist.
19,3,حي الحزم,Al Hazm Dist.
20,3,حي عتيقة,Utayqah Dist.
21,3,حي المربع,Al Murabba Dist.
22,3,حي الفلاح,Al Falah Dist.
23,3,حي الندى,Al Nada Dist.
24,3,حي المرسلات,Al Mursalat Dist.
25,3,حي النزهة,Al Nuzha Dist.
26,3,حي الورود,Al Woroud Dist.
27,3,حي الملك فيصل,King Faisal Dist.
28,3,المدينة الصناعية الثانية,2nd Industrial City
29,3,حي العزيزية,Al Aziziyah Dist.
30,3,حي المنصورة,Al Mansurah Dist.
31,3,حي غبيرة,Ghobairah Dist.
32,3,حي الفاروق,Al Farooq Dist.
33,3,حي الفيصلية,Al Faisaliyah Dist.
34,3,حي الخالدية,Al Khalidiyah Dist.
35,3,حي الجزيرة,Al Jazeerah Dist.
36,3,حي السعادة,Al Saadah Dist.
37,3,حي الناصرية,Al Nasiriyah Dist.
38,3,حي المناخ,Al Manakh Dist.
39,3,حي الدفاع,Al Difaa Dist.
40,3,حي النور,Al Noor Dist.
41,3,حي الملك عبدالله,King Abdullah Dist.
42,3,حي الواحة,Al Wahah Dist.
43,3,حي صلاح الدين,Salahuddin Dist.
44,3,حي الملك عبدالعزيز,King Abdulaziz Dist.
45,3,حي الوزارات,Al Wizarat Dist.
46,3,حي سكيرينة,Skirinah Dist.
47,3,حي الربوة,Ar Rabwah Dist.
48,3,حي جرير,Jareer Dist.
49,3,حي المعذر,Al Mathar Dist.
50,3,حي الصالحية,As Salhiyah Dist.
51,3,حي الملز,Al Malaz Dist.
52,3,حي منفوحة,Manfuhah Dist.
53,3,حي عليشة,Olaishah Dist.
54,3,حي النهضة,Al Nahdah Dist.
55,3,حي الخليج,Al Khaleej Dist.
56,3,حي الضباط,Al Dhubbat Dist.
57,3,حي السويدي الغربي,West Suwaidi Dist.
58,3,حي ديراب,Dirab Dist.
59,3,حي احد,Ohod Dist.
60,3,حي نمار,Namar Dist.
61,3,حي الشفا,Al Shifa Dist.
62,3,حي المحمدية,Al Muhammadiyah Dist.
63,3,حي السليمانية,Al Sulaimaniyah Dist.
64,3,حي المروة,Al Marwah Dist.
65,3,حي عكاظ,Okaz Dist.
66,3,حي شبرا,Shubra Dist.
67,3,حي الزهرة,Al Zahrah Dist.
68,3,حي صياح,Siyah Dist.
69,3,حي سلطانة,Sultanah Dist.
70,3,حي اليمامة,Al Yamamah Dist.
71,3,حي البديعة,Al Badiah Dist.
72,3,حي المصانع,Al Masani Dist.
73,3,حي القادسية,Al Qadisiyah Dist.
74,3,حي الصفا,Al Safa Dist.
75,3,حي العليا,Al Olaya Dist.
76,3,حي الدريهمية,Al Duraihemiyah Dist.
77,3,حي الاسكان,Al Iskan Dist.
78,3,حي السلام,Al Salam Dist.
79,3,حي المنار,Al Manar Dist.
80,3,حي النسيم الشرقي,East Naseem Dist.
81,3,حي القدس,Al Quds Dist.
82,3,حي الوادي,Al Wadi Dist.
83,3,حي النفل,Al Nafel Dist.
84,3,حي المصيف,Al Maseef Dist.
85,3,حي التعاون,Al Taawun Dist.
86,3,حي الازدهار,Al Ezdihar Dist.
87,3,حي الاندلس,Al Andalus Dist.
88,3,حي الروضة,Al Rawdah Dist.
89,3,حي الروابي,Al Rawabi Dist.
90,3,حي الريان,Al Rayan Dist.
91,3,حي ظهرة البديعة,Dhahrat Al Badeah Dist.
92,3,حي النظيم,Al Nadheem Dist.
93,3,حي الرماية,Al Rimayah Dist.
94,3,حي البرية,Al Bariyah Dist.
95,3,حي طيبة,Taybah Dist.
96,3,حي المنصورية,Mansuriyah Dist.
97,3,حي ضاحية نمار,Dahiyat Namar Dist.
98,3,حي المصفاة,Al Misfat Dist.
99,3,حي السفارات,Assafarat Dist.
